project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
fiorix/go-diameter,/diam/dict/util_test.go/BenchmarkFindAVPCode,"""github.com/fiorix/go-diameter/diam/dict.BenchmarkFindAVPCode""",3805,14385,20,1,123,622,264,19,4,0,0,0,0,0,0,0,0,14,1,17,0,46,0,0,0,0,2,199,2,9,0,0,12,12,0,0,0,2,0,4,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fiorix/go-diameter,/diam/datatype/octetstring_test.go/BenchmarkOctetString,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkOctetString""",78,104,20,1,1,7,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/dict/util_test.go/BenchmarkScanAVPName,"""github.com/fiorix/go-diameter/diam/dict.BenchmarkScanAVPName""",3805,14385,20,1,123,647,268,22,4,0,0,0,0,0,0,0,0,14,1,17,0,49,0,0,0,0,2,208,2,9,0,0,12,12,0,0,0,2,0,4,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fiorix/go-diameter,/diam/datatype/address_test.go/BenchmarkAddressIPv6,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkAddressIPv6""",78,327,20,1,1,20,14,1,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/address_test.go/BenchmarkDecodeAddressIPv6,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeAddressIPv6""",78,327,26,1,2,28,13,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,3,0,0,0,11,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/uintconv_test.go/BenchmarkUint32to24,"""github.com/fiorix/go-diameter/diam.BenchmarkUint32to24""",34,50,19,1,1,6,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/float32_test.go/BenchmarkDecodeFloat32,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeFloat32""",78,97,22,1,2,10,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/message_test.go/BenchmarkWriteMessage,"""github.com/fiorix/go-diameter/diam.BenchmarkWriteMessage""",4709,19534,21,1,173,879,389,21,4,0,0,0,0,0,0,0,0,19,5,22,0,86,1,3,0,0,3,276,2,15,0,0,27,27,0,0,0,4,0,6,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
fiorix/go-diameter,/diam/header_test.go/BenchmarkDecodeHeader,"""github.com/fiorix/go-diameter/diam.BenchmarkDecodeHeader""",3859,14317,21,1,125,643,275,19,4,0,0,0,0,0,0,0,0,14,2,17,0,49,0,0,0,0,2,204,2,9,0,0,15,15,0,0,0,2,0,4,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fiorix/go-diameter,/diam/datatype/int32_test.go/BenchmarkInteger32,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkInteger32""",78,118,18,1,1,9,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/octetstring_test.go/BenchmarkDecodeOctetString,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeOctetString""",78,104,26,1,2,10,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/time_test.go/BenchmarkTime,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkTime""",78,100,13,1,1,9,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/unsigned64_test.go/BenchmarkUnsigned64,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkUnsigned64""",78,98,19,1,1,9,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/unsigned64_test.go/BenchmarkDecodeUnsigned64,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeUnsigned64""",78,98,25,1,2,10,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/unsigned32_test.go/BenchmarkDecodeUnsigned32,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeUnsigned32""",78,98,25,1,2,10,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/dict/util_test.go/BenchmarkScanAVPCode,"""github.com/fiorix/go-diameter/diam/dict.BenchmarkScanAVPCode""",3805,14385,20,1,123,647,268,22,4,0,0,0,0,0,0,0,0,14,1,17,0,49,0,0,0,0,2,208,2,9,0,0,12,12,0,0,0,2,0,4,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fiorix/go-diameter,/diam/datatype/unsigned32_test.go/BenchmarkUnsigned32,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkUnsigned32""",78,98,19,1,1,9,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/int64_test.go/BenchmarkDecodeInteger64,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeInteger64""",78,118,24,1,2,10,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/avp_test.go/BenchmarkDecodeAVP,"""github.com/fiorix/go-diameter/diam.BenchmarkDecodeAVP""",4539,15370,18,1,161,779,345,20,4,0,0,0,0,0,0,0,0,16,3,19,0,71,1,3,0,0,2,249,2,9,0,0,24,24,0,0,0,2,0,6,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fiorix/go-diameter,/diam/datatype/int64_test.go/BenchmarkInteger64,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkInteger64""",78,118,18,1,1,9,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/uintconv_test.go/BenchmarkUint24to32,"""github.com/fiorix/go-diameter/diam.BenchmarkUint24to32""",34,50,19,1,1,9,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/int32_test.go/BenchmarkDecodeInteger32,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeInteger32""",78,118,24,1,2,10,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/utf8string_test.go/BenchmarkUTF8String,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkUTF8String""",117,141,19,1,2,9,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/utf8string_test.go/BenchmarkDecodeUTF8String,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeUTF8String""",78,104,25,1,2,10,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/address_test.go/BenchmarkAddressIPv4,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkAddressIPv4""",78,327,20,1,1,20,14,1,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/dict/util_test.go/BenchmarkFindAVPName,"""github.com/fiorix/go-diameter/diam/dict.BenchmarkFindAVPName""",3805,14385,20,1,123,622,264,19,4,0,0,0,0,0,0,0,0,14,1,17,0,46,0,0,0,0,2,199,2,9,0,0,12,12,0,0,0,2,0,4,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
fiorix/go-diameter,/diam/datatype/time_test.go/BenchmarkDecodeTime,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeTime""",78,100,19,1,2,10,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/avp_test.go/BenchmarkEncodeAVP,"""github.com/fiorix/go-diameter/diam.BenchmarkEncodeAVP""",2081,3344,18,1,59,218,111,4,0,0,0,0,0,0,0,0,0,5,1,16,0,13,0,0,0,0,0,77,0,0,0,0,9,9,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/float32_test.go/BenchmarkFloat32,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkFloat32""",78,97,16,1,1,9,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/float64_test.go/BenchmarkDecodeFloat64,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkDecodeFloat64""",78,97,22,1,2,10,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/datatype/float64_test.go/BenchmarkFloat64,"""github.com/fiorix/go-diameter/diam/datatype.BenchmarkFloat64""",78,97,16,1,1,9,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/header_test.go/BenchmarkEncodeHeader,"""github.com/fiorix/go-diameter/diam.BenchmarkEncodeHeader""",68,262,21,1,2,27,13,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiorix/go-diameter,/diam/reflect_test.go/BenchmarkUnmarshal,"""github.com/fiorix/go-diameter/diam.BenchmarkUnmarshal""",4801,22033,18,1,180,1018,462,24,4,0,0,0,0,0,0,0,0,22,5,23,1,105,2,7,0,0,3,308,2,15,0,0,27,27,0,0,0,4,0,6,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
