project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
coreos/torus,/models/toruspb_test.go/BenchmarkRingSize,"""github.com/coreos/torus/models.BenchmarkRingSize""",60,28887,17,1,9,163,107,9,1,0,0,0,0,0,0,0,0,10,3,5,1,27,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coreos/torus,/storage/mmap_file_test.go/BenchmarkWrites,"""github.com/coreos/torus/storage.BenchmarkWrites""",1272,151563,15,1,218,2995,965,100,47,3,2,4,2,2,0,2,4,78,1,34,1,474,13,54,10,0,31,816,0,4,0,0,5,5,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,1,0,57,1,0
coreos/torus,/models/toruspb_test.go/BenchmarkRebalanceInfoSize,"""github.com/coreos/torus/models.BenchmarkRebalanceInfoSize""",24,10749,26,1,3,45,22,3,0,0,0,0,0,0,0,0,0,4,1,1,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coreos/torus,/models/rpcpb_test.go/BenchmarkRebalanceCheckRequestProtoUnmarshal,"""github.com/coreos/torus/models.BenchmarkRebalanceCheckRequestProtoUnmarshal""",1465,262764,44,1,255,4234,1309,146,78,3,2,4,2,2,0,2,4,126,4,47,3,707,18,77,12,0,27,1151,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
coreos/torus,/models/toruspb_test.go/BenchmarkRingProtoMarshal,"""github.com/coreos/torus/models.BenchmarkRingProtoMarshal""",1405,234131,25,1,253,3453,1217,113,48,3,2,4,2,2,0,2,4,104,4,46,2,545,13,54,11,0,27,924,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
coreos/torus,/integration/integration_test.go/BenchmarkLoadThree,"""github.com/coreos/torus/integration.BenchmarkLoadThree""",2836,263992,18,1,534,6583,2329,207,83,7,3,10,7,8,0,5,10,158,17,83,18,981,20,86,24,0,83,1722,0,11,0,0,21,20,0,1,0,2,1,7,3,0,39,1,0,0,0,0,0,0,0,18,0,0,1,0,153,1,0
coreos/torus,/models/toruspb_test.go/BenchmarkBlockLayerSize,"""github.com/coreos/torus/models.BenchmarkBlockLayerSize""",24,10749,23,1,3,43,20,4,0,0,0,0,0,0,0,0,0,5,1,2,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coreos/torus,/models/toruspb_test.go/BenchmarkRingProtoUnmarshal,"""github.com/coreos/torus/models.BenchmarkRingProtoUnmarshal""",1483,273430,27,1,258,4285,1351,149,79,3,2,4,2,2,0,2,4,129,5,50,4,714,18,77,12,0,27,1165,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
coreos/torus,/models/toruspb_test.go/BenchmarkBlockLayerProtoMarshal,"""github.com/coreos/torus/models.BenchmarkBlockLayerProtoMarshal""",1381,222039,31,1,249,3393,1167,110,47,3,2,4,2,2,0,2,4,101,2,43,1,536,13,54,11,0,27,906,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
coreos/torus,/models/rpcpb_test.go/BenchmarkPutResponseSize,"""github.com/coreos/torus/models.BenchmarkPutResponseSize""",36,10474,24,1,5,54,24,4,0,0,0,0,0,0,0,0,0,5,1,2,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coreos/torus,/models/rpcpb_test.go/BenchmarkPutBlockRequestSize,"""github.com/coreos/torus/models.BenchmarkPutBlockRequestSize""",42,15859,28,1,6,88,43,9,1,0,0,0,0,0,0,0,0,8,2,5,0,10,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coreos/torus,/models/toruspb_test.go/BenchmarkBlockLayerProtoUnmarshal,"""github.com/coreos/torus/models.BenchmarkBlockLayerProtoUnmarshal""",1459,261338,33,1,254,4225,1301,146,78,3,2,4,2,2,0,2,4,126,3,47,3,705,18,77,12,0,27,1147,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
coreos/torus,/models/toruspb_test.go/BenchmarkRebalanceInfoProtoUnmarshal,"""github.com/coreos/torus/models.BenchmarkRebalanceInfoProtoUnmarshal""",1459,261338,36,1,254,4225,1304,145,78,3,2,4,2,2,0,2,4,125,3,46,3,706,18,77,12,0,27,1147,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
coreos/torus,/models/toruspb_test.go/BenchmarkINodeProtoUnmarshal,"""github.com/coreos/torus/models.BenchmarkINodeProtoUnmarshal""",1477,270407,28,1,257,4262,1328,149,78,3,2,4,2,2,0,2,4,129,4,49,4,710,18,77,12,0,27,1159,0,4,0,0,5,5,0,0,0,0,0,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,57,1,0
