project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
google/netstack,/sleep/sleep_test.go/BenchmarkGoWaitOnSingleSelect,"""github.com/google/netstack/sleep.BenchmarkGoWaitOnSingleSelect""",3,461,29,1,0,8,2,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/netstack,/sleep/sleep_test.go/BenchmarkSleeperMultiSelect,"""github.com/google/netstack/sleep.BenchmarkSleeperMultiSelect""",27,2597,27,1,4,136,37,8,2,0,0,0,0,0,0,0,0,3,0,1,0,12,1,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
google/netstack,/sleep/sleep_test.go/BenchmarkSleeperWaitOnMultiSelect,"""github.com/google/netstack/sleep.BenchmarkSleeperWaitOnMultiSelect""",27,2597,33,1,4,138,38,8,2,0,0,0,0,1,0,0,0,3,0,1,0,12,1,3,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
google/netstack,/sleep/sleep_test.go/BenchmarkSleeperAssertNonWaiting,"""github.com/google/netstack/sleep.BenchmarkSleeperAssertNonWaiting""",18,1796,32,1,2,56,18,3,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
google/netstack,/sleep/sleep_test.go/BenchmarkGoAssertNonWaiting,"""github.com/google/netstack/sleep.BenchmarkGoAssertNonWaiting""",3,461,27,1,0,9,1,1,0,1,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/netstack,/sleep/sleep_test.go/BenchmarkGoWaitOnMultiSelect,"""github.com/google/netstack/sleep.BenchmarkGoWaitOnMultiSelect""",3,461,28,1,0,19,4,2,0,2,1,4,0,1,0,1,4,2,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/netstack,/sleep/sleep_test.go/BenchmarkGoSingleSelect,"""github.com/google/netstack/sleep.BenchmarkGoSingleSelect""",3,461,23,1,0,8,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/netstack,/sleep/sleep_test.go/BenchmarkGoMultiSelect,"""github.com/google/netstack/sleep.BenchmarkGoMultiSelect""",3,461,22,1,0,17,3,2,0,2,1,4,0,0,0,1,4,2,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
google/netstack,/sleep/sleep_test.go/BenchmarkSleeperWaitOnSingleSelect,"""github.com/google/netstack/sleep.BenchmarkSleeperWaitOnSingleSelect""",27,2597,34,1,4,134,36,7,2,0,0,0,0,1,0,0,0,2,0,0,0,12,1,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
google/netstack,/sleep/sleep_test.go/BenchmarkSleeperSingleSelect,"""github.com/google/netstack/sleep.BenchmarkSleeperSingleSelect""",27,2597,28,1,4,133,36,7,2,0,0,0,0,0,0,0,0,2,0,0,0,12,1,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0
