project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Remove_forward,"""github.com/glenn-brown/skiplist.BenchmarkT_Remove_forward""",56,6908,25,1,12,143,40,9,1,0,0,0,0,0,0,0,0,3,3,2,0,7,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_RemoveN_mid,"""github.com/glenn-brown/skiplist.BenchmarkT_RemoveN_mid""",64,8227,22,1,14,159,41,11,2,0,0,0,0,0,0,0,0,3,4,2,0,7,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_ElementN_reverse,"""github.com/glenn-brown/skiplist.BenchmarkT_ElementN_reverse""",60,7462,27,1,13,155,38,11,2,0,0,0,0,0,0,0,0,4,4,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Element_shuffle,"""github.com/glenn-brown/skiplist.BenchmarkT_Element_shuffle""",64,8227,26,1,15,149,43,9,1,0,0,0,0,0,0,0,0,2,3,2,0,7,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_ElementN_forward,"""github.com/glenn-brown/skiplist.BenchmarkT_ElementN_forward""",60,7462,27,1,13,155,38,11,2,0,0,0,0,0,0,0,0,4,4,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_RemoveN_tail,"""github.com/glenn-brown/skiplist.BenchmarkT_RemoveN_tail""",60,7462,23,1,13,156,39,11,2,0,0,0,0,0,0,0,0,4,4,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Insert_shuffle,"""github.com/glenn-brown/skiplist.BenchmarkT_Insert_shuffle""",52,6354,25,1,11,132,36,8,1,0,0,0,0,0,0,0,0,2,3,2,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_RemoveN_head,"""github.com/glenn-brown/skiplist.BenchmarkT_RemoveN_head""",60,7462,23,1,13,156,39,11,2,0,0,0,0,0,0,0,0,4,4,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Insert_forward,"""github.com/glenn-brown/skiplist.BenchmarkT_Insert_forward""",52,6354,25,1,11,131,35,8,1,0,0,0,0,0,0,0,0,3,3,2,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_ElementN_shuffle,"""github.com/glenn-brown/skiplist.BenchmarkT_ElementN_shuffle""",64,8227,27,1,14,159,41,11,2,0,0,0,0,0,0,0,0,3,4,2,0,7,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Remove_reverse,"""github.com/glenn-brown/skiplist.BenchmarkT_Remove_reverse""",56,6908,25,1,12,143,40,9,1,0,0,0,0,0,0,0,0,3,3,2,0,7,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Insert_reverse,"""github.com/glenn-brown/skiplist.BenchmarkT_Insert_reverse""",52,6354,25,1,11,131,35,8,1,0,0,0,0,0,0,0,0,2,3,2,0,6,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Element_reverse,"""github.com/glenn-brown/skiplist.BenchmarkT_Element_reverse""",60,7462,26,1,14,145,40,9,1,0,0,0,0,0,0,0,0,3,3,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Element_forward,"""github.com/glenn-brown/skiplist.BenchmarkT_Element_forward""",60,7462,26,1,14,145,40,9,1,0,0,0,0,0,0,0,0,3,3,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glenn-brown/skiplist,skiplist_test.go/BenchmarkT_Remove_shuffle,"""github.com/glenn-brown/skiplist.BenchmarkT_Remove_shuffle""",60,7673,25,1,13,147,43,9,1,0,0,0,0,0,0,0,0,2,3,2,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
