project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
Masterminds/semver,benchmark_test.go/BenchmarkValidateVersionTilde,"""github.com/Masterminds/semver_test.BenchmarkValidateVersionTilde""",212,11588,29,1,33,446,119,7,2,0,0,0,0,0,0,0,0,6,3,5,0,63,1,2,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkNewVersionMeta,"""github.com/Masterminds/semver_test.BenchmarkNewVersionMeta""",100,4797,23,1,14,179,36,2,0,0,0,0,0,0,0,0,0,6,1,0,0,26,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkValidateVersionCaret,"""github.com/Masterminds/semver_test.BenchmarkValidateVersionCaret""",212,11588,29,1,33,446,119,7,2,0,0,0,0,0,0,0,0,6,3,5,0,63,1,2,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkNewVersionMetaDash,"""github.com/Masterminds/semver_test.BenchmarkNewVersionMetaDash""",100,4797,27,1,14,179,36,2,0,0,0,0,0,0,0,0,0,6,1,0,0,26,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkCheckVersionTilde,"""github.com/Masterminds/semver_test.BenchmarkCheckVersionTilde""",212,11588,26,1,32,444,117,7,2,0,0,0,0,0,0,0,0,6,3,3,0,63,1,2,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkValidateVersionUnion,"""github.com/Masterminds/semver_test.BenchmarkValidateVersionUnion""",212,11588,29,1,33,446,119,7,2,0,0,0,0,0,0,0,0,6,3,5,0,63,1,2,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkNewConstraintUnary,"""github.com/Masterminds/semver_test.BenchmarkNewConstraintUnary""",128,6501,27,1,20,263,58,5,1,0,0,0,0,0,0,0,0,6,3,3,0,33,1,2,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkNewConstraintCaret,"""github.com/Masterminds/semver_test.BenchmarkNewConstraintCaret""",128,6501,27,1,20,263,58,5,1,0,0,0,0,0,0,0,0,6,3,3,0,33,1,2,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkCheckVersionUnary,"""github.com/Masterminds/semver_test.BenchmarkCheckVersionUnary""",212,11588,26,1,32,444,117,7,2,0,0,0,0,0,0,0,0,6,3,3,0,63,1,2,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Masterminds/semver,benchmark_test.go/BenchmarkNewConstraintRange,"""github.com/Masterminds/semver_test.BenchmarkNewConstraintRange""",128,6501,27,1,20,263,58,5,1,0,0,0,0,0,0,0,0,6,3,3,0,33,1,2,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
