project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
Workiva/go-datastructures,/hashmap/fastinteger/hash_test.go/BenchmarkHash,"""github.com/Workiva/go-datastructures/hashmap/fastinteger.BenchmarkHash""",15,493,13,1,2,28,13,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Workiva/go-datastructures,/rangetree/orderedtree_test.go/BenchmarkOTDeleteItemsMultiDimensions,"""github.com/Workiva/go-datastructures/rangetree.BenchmarkOTDeleteItemsMultiDimensions""",228,4429,37,1,21,234,60,8,0,0,0,0,0,0,0,0,0,5,4,2,0,24,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Workiva/go-datastructures,/rangetree/immutable_test.go/BenchmarkImmutableMultiDimensionBulkInsert,"""github.com/Workiva/go-datastructures/rangetree.BenchmarkImmutableMultiDimensionBulkInsert""",186,3639,42,1,19,203,63,5,0,0,0,0,0,0,0,0,0,2,1,1,0,20,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Workiva/go-datastructures,/fibheap/fibheap_test.go/BenchmarkFibHeap_DecreaseKey,"""github.com/Workiva/go-datastructures/fibheap.BenchmarkFibHeap_DecreaseKey""",111,7025,28,1,20,172,31,2,0,0,0,0,0,0,0,0,0,3,0,2,0,19,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Workiva/go-datastructures,/tree/avl/avl_test.go/BenchmarkImmutableInsert,"""github.com/Workiva/go-datastructures/tree/avl.BenchmarkImmutableInsert""",90,6119,24,1,15,219,46,5,0,0,0,0,0,0,0,0,0,5,2,3,0,21,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Workiva/go-datastructures,/futures/selectable_test.go/BenchmarkSelectable,"""github.com/Workiva/go-datastructures/futures.BenchmarkSelectable""",103,4588,19,1,18,103,31,1,0,1,0,2,1,1,0,1,2,2,0,0,0,8,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
Workiva/go-datastructures,/rangetree/ordered_test.go/BenchmarkPrepend,"""github.com/Workiva/go-datastructures/rangetree.BenchmarkPrepend""",96,1505,16,1,9,88,23,2,0,0,0,0,0,0,0,0,0,2,1,0,0,9,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Workiva/go-datastructures,/fibheap/fibheap_test.go/BenchmarkFibHeap_Delete,"""github.com/Workiva/go-datastructures/fibheap.BenchmarkFibHeap_Delete""",115,7355,23,1,21,265,40,7,2,0,0,0,0,0,0,0,0,5,0,4,0,24,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Workiva/go-datastructures,/set/dict_test.go/BenchmarkClear,"""github.com/Workiva/go-datastructures/set.BenchmarkClear""",6,493,14,1,1,22,6,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Workiva/go-datastructures,/queue/queue_test.go/BenchmarkQueue,"""github.com/Workiva/go-datastructures/queue.BenchmarkQueue""",80,3835,14,1,9,158,50,5,0,2,2,2,0,1,0,3,6,4,0,4,0,14,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
