project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationMessageGeneration,"""github.com/Comcast/eel/test.BenchmarkRawTransformationMessageGeneration""",3460,134614,43,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
Comcast/eel,/test/bench_test.go/BenchmarkCase,"""github.com/Comcast/eel/test.BenchmarkCase""",4158,148709,13,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkJavaScript,"""github.com/Comcast/eel/test.BenchmarkJavaScript""",4158,148709,19,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkMessageGeneration,"""github.com/Comcast/eel/test.BenchmarkMessageGeneration""",4158,148709,26,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationMatchByExample,"""github.com/Comcast/eel/test.BenchmarkRawTransformationMatchByExample""",3460,134614,40,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationCase,"""github.com/Comcast/eel/test.BenchmarkRawTransformationCase""",3460,134614,30,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
Comcast/eel,/test/bench_test.go/BenchmarkCanonicalizeEvent,"""github.com/Comcast/eel/test.BenchmarkCanonicalizeEvent""",4158,148709,26,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkRegex,"""github.com/Comcast/eel/test.BenchmarkRegex""",4158,148709,14,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkNamedTransformationsAndArrays,"""github.com/Comcast/eel/test.BenchmarkNamedTransformationsAndArrays""",4158,148709,38,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkNamedTransformation,"""github.com/Comcast/eel/test.BenchmarkNamedTransformation""",4158,148709,28,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationJavaScript,"""github.com/Comcast/eel/test.BenchmarkRawTransformationJavaScript""",3460,134614,36,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
Comcast/eel,/test/bench_test.go/BenchmarkMatchByExample,"""github.com/Comcast/eel/test.BenchmarkMatchByExample""",4158,148709,23,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkCustomProperties,"""github.com/Comcast/eel/test.BenchmarkCustomProperties""",4158,148709,25,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationRegex,"""github.com/Comcast/eel/test.BenchmarkRawTransformationRegex""",3460,134614,31,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
Comcast/eel,/test/bench_test.go/BenchmarkStringOps,"""github.com/Comcast/eel/test.BenchmarkStringOps""",4158,148709,18,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationStringOps,"""github.com/Comcast/eel/test.BenchmarkRawTransformationStringOps""",3460,134614,35,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
Comcast/eel,/test/bench_test.go/BenchmarkContains,"""github.com/Comcast/eel/test.BenchmarkContains""",4158,148709,17,1,213,5323,2882,130,24,7,9,7,1,8,1,4,8,79,4,150,111,678,9,76,1,1,26,1449,6,4,1,0,59,0,0,58,0,19,11,0,0,0,158,150,4,0,0,0,0,0,0,11,0,0,3,24,38,7,0
Comcast/eel,/test/bench_test.go/BenchmarkRawTransformationByExample,"""github.com/Comcast/eel/test.BenchmarkRawTransformationByExample""",3460,134614,35,1,198,4071,1996,101,17,7,5,5,1,5,1,2,4,67,3,111,91,512,8,71,0,1,15,1181,3,3,1,0,17,0,0,16,0,7,4,0,0,0,13,9,0,0,0,0,0,0,0,8,0,0,2,21,33,4,0
