project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
dustin/go-humanize,bigbytes_test.go/BenchmarkParseBigBytes,"""github.com/dustin/go-humanize.BenchmarkParseBigBytes""",42,393,22,1,2,38,12,2,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-humanize,bytes_test.go/BenchmarkParseBytes,"""github.com/dustin/go-humanize.BenchmarkParseBytes""",42,289,19,1,2,37,10,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-humanize,comma_test.go/BenchmarkCommaf,"""github.com/dustin/go-humanize.BenchmarkCommaf""",42,244,15,1,1,31,17,2,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-humanize,ftoa_test.go/BenchmarkFtoaFunc,"""github.com/dustin/go-humanize.BenchmarkFtoaFunc""",42,78,17,1,1,22,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-humanize,ftoa_test.go/BenchmarkStrconvF,"""github.com/dustin/go-humanize.BenchmarkStrconvF""",21,55,17,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-humanize,comma_test.go/BenchmarkBigCommas,"""github.com/dustin/go-humanize.BenchmarkBigCommas""",63,275,18,1,3,39,26,3,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
dustin/go-humanize,bytes_test.go/BenchmarkBytes,"""github.com/dustin/go-humanize.BenchmarkBytes""",84,575,14,1,3,22,13,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-humanize,comma_test.go/BenchmarkCommas,"""github.com/dustin/go-humanize.BenchmarkCommas""",42,244,15,1,1,33,7,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
dustin/go-humanize,ftoa_test.go/BenchmarkFmtF,"""github.com/dustin/go-humanize.BenchmarkFmtF""",21,55,13,1,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-humanize,commaf_test.go/BenchmarkBigCommaf,"""github.com/dustin/go-humanize.BenchmarkBigCommaf""",42,150,18,1,1,31,17,2,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-humanize,ftoa_test.go/BenchmarkFtoaRegexTrailing,"""github.com/dustin/go-humanize.BenchmarkFtoaRegexTrailing""",21,55,26,1,0,12,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-humanize,bigbytes_test.go/BenchmarkBigBytes,"""github.com/dustin/go-humanize.BenchmarkBigBytes""",105,817,17,1,5,34,18,2,0,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-humanize,si_test.go/BenchmarkParseSI,"""github.com/dustin/go-humanize.BenchmarkParseSI""",42,214,16,1,3,14,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
