project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrapePlace,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrapePlace""",8,861,20,1,4,37,21,2,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g-hyoga/kyuko,/go/twitter/tweet_test.go/BenchmarkCreateLine,"""github.com/g-hyoga/kyuko/go/twitter.BenchmarkCreateLine""",4,231,19,1,2,13,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g-hyoga/kyuko,/go/twitter/tweet_test.go/BenchmarkConvertWeekItos,"""github.com/g-hyoga/kyuko/go/twitter.BenchmarkConvertWeekItos""",4,231,24,1,2,12,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrapeReason,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrapeReason""",8,861,21,1,4,30,14,2,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkSetUrl,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkSetUrl""",4,451,15,1,2,10,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrapeDay,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrapeDay""",4,451,18,1,2,18,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrapeNameAndInstructor,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrapeNameAndInstructor""",12,1271,32,1,8,41,22,3,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrapePeriod,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrapePeriod""",8,861,21,1,4,37,21,2,0,0,0,0,0,0,0,0,0,2,0,5,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g-hyoga/kyuko,/go/twitter/tweet_test.go/BenchmarkCreateContent,"""github.com/g-hyoga/kyuko/go/twitter.BenchmarkCreateContent""",8,431,22,1,6,58,10,3,0,0,0,0,0,0,0,0,0,2,0,3,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrape,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrape""",24,2501,15,1,20,139,68,6,0,0,0,0,0,0,0,0,0,5,0,11,1,7,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
g-hyoga/kyuko,/go/scrape/scrape_test.go/BenchmarkScrapeWeekday,"""github.com/g-hyoga/kyuko/go/scrape.BenchmarkScrapeWeekday""",6,656,22,1,4,23,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
