project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
pgpst/pgpst,/internal/github.com/golang/protobuf/proto/all_test.go/BenchmarkMarshalBytes,"""github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto_test.BenchmarkMarshalBytes""",8631,335319,21,1,585,8083,3034,147,18,5,4,7,5,6,0,4,9,142,11,111,4,931,62,275,18,1,16,2060,11,41,17,0,27,19,0,5,0,80,4,27,0,0,15,2,0,0,0,0,0,0,0,1,0,0,7,36,112,40,1
pgpst/pgpst,/internal/code.google.com/p/snappy-go/snappy/snappy_test.go/Benchmark_UFlat11,"""github.com/pgpst/pgpst/internal/code.google.com/p/snappy-go/snappy.Benchmark_UFlat11""",7247,215788,17,1,475,7051,2517,112,18,5,4,7,5,6,0,4,9,110,10,105,3,844,60,270,18,1,19,1818,11,41,17,0,27,19,0,5,0,83,5,27,0,0,17,4,0,0,0,0,0,0,0,8,0,0,4,36,112,40,1
pgpst/pgpst,/internal/github.com/golang/protobuf/proto/all_test.go/BenchmarkUnmarshalUnrecognizedFields,"""github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto_test.BenchmarkUnmarshalUnrecognizedFields""",8066,278950,36,1,541,7665,2813,133,18,5,4,7,5,6,0,4,9,128,12,109,4,896,62,275,18,1,16,1965,11,41,17,0,27,19,0,5,0,80,4,27,0,0,15,2,0,0,0,0,0,0,0,1,0,0,7,36,112,40,1
pgpst/pgpst,/internal/github.com/mreiferson/go-snappystream/readwrite_test.go/BenchmarkWriterManpage,"""github.com/pgpst/pgpst/internal/github.com/mreiferson/go-snappystream.BenchmarkWriterManpage""",7272,216211,22,1,477,7027,2492,111,18,5,4,7,5,6,0,4,9,109,10,104,3,836,60,270,18,1,16,1808,13,42,17,0,27,19,0,5,0,83,5,27,0,0,15,2,0,0,0,0,0,0,0,1,0,0,4,36,112,40,1
pgpst/pgpst,/internal/github.com/dancannon/gorethink/gorethink_test.go/testBenchmarkSetup,"""github.com/pgpst/pgpst/internal/github.com/dancannon/gorethink.testBenchmarkSetup""",12456,250215,18,0,618,8563,2999,144,21,6,7,9,5,6,0,6,13,136,19,134,31,990,71,324,27,2,23,2196,13,41,18,0,38,26,0,7,0,80,4,28,0,0,25,2,0,0,0,0,0,0,0,1,0,0,6,36,181,45,1
pgpst/pgpst,/internal/gopkg.in/check.v1/benchmark_test.go/TestBasicTestTiming,"""(*github.com/pgpst/pgpst/internal/gopkg.in/check.v1_test.BenchmarkS).TestBasicTestTiming""",8354,274930,19,1,562,8105,2877,133,21,9,8,14,5,8,0,6,14,132,15,130,3,977,68,299,21,3,24,2141,11,47,17,0,28,19,0,6,0,85,4,27,0,0,15,2,0,0,0,0,0,0,0,3,0,0,4,37,126,40,1
pgpst/pgpst,/internal/github.com/golang/protobuf/proto/all_test.go/BenchmarkBufferUnmarshal,"""github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto_test.BenchmarkBufferUnmarshal""",8153,293032,24,1,548,7721,2850,134,18,5,4,7,5,6,0,4,9,130,11,113,4,898,62,275,18,1,16,1977,11,41,17,0,27,19,0,5,0,80,4,27,0,0,15,2,0,0,0,0,0,0,0,1,0,0,7,36,112,40,1
pgpst/pgpst,/internal/github.com/dancannon/gorethink/gorethink_test.go/BenchmarkSelectManyStruct,"""(*github.com/pgpst/pgpst/internal/github.com/dancannon/gorethink.RethinkSuite).BenchmarkSelectManyStruct""",14866,307072,25,1,723,10212,3642,177,26,6,7,9,5,6,0,6,13,164,28,168,36,1216,86,387,37,4,27,2689,13,47,18,0,41,26,0,9,0,82,4,30,0,0,25,2,0,0,0,0,0,0,0,2,0,0,6,46,205,45,1
pgpst/pgpst,/internal/github.com/golang/protobuf/proto/text_test.go/BenchmarkMarshalTextUnbuffered,"""github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto_test.BenchmarkMarshalTextUnbuffered""",8092,276575,30,1,543,7719,2831,133,18,5,4,7,5,6,0,4,9,128,13,114,4,902,62,275,21,1,16,1973,11,41,17,0,27,19,0,5,0,80,4,27,0,0,15,2,0,0,0,0,0,0,0,1,0,0,7,36,112,40,1
pgpst/pgpst,/internal/code.google.com/p/snappy-go/snappy/snappy_test.go/Benchmark_UFlat4,"""github.com/pgpst/pgpst/internal/code.google.com/p/snappy-go/snappy.Benchmark_UFlat4""",7247,215788,16,1,475,7051,2517,112,18,5,4,7,5,6,0,4,9,110,10,105,3,844,60,270,18,1,19,1818,11,41,17,0,27,19,0,5,0,83,5,27,0,0,17,4,0,0,0,0,0,0,0,8,0,0,4,36,112,40,1
pgpst/pgpst,/internal/gopkg.in/check.v1/benchmark_test.go/TestBenchmarkBytes,"""(*github.com/pgpst/pgpst/internal/gopkg.in/check.v1_test.BenchmarkS).TestBenchmarkBytes""",8354,274930,18,1,562,8109,2877,133,21,9,8,14,5,8,0,6,14,133,15,130,3,977,68,299,21,3,24,2141,11,47,17,0,28,19,0,6,0,85,4,27,0,0,15,2,0,0,0,0,0,0,0,3,0,0,4,37,126,40,1
pgpst/pgpst,/internal/github.com/bitly/go-nsq/producer_test.go/BenchmarkProducer,"""github.com/pgpst/pgpst/internal/github.com/bitly/go-nsq.BenchmarkProducer""",7971,237252,17,1,520,7634,2755,123,19,15,7,18,7,10,0,8,20,123,14,116,3,889,68,302,21,1,19,1983,11,46,20,0,29,21,0,5,0,81,5,27,0,0,16,2,0,0,0,0,0,0,0,2,0,0,4,40,130,49,1
pgpst/pgpst,/internal/github.com/dancannon/gorethink/benchmarks_test.go/BenchmarkSequentialWritesParallel10,"""github.com/pgpst/pgpst/internal/github.com/dancannon/gorethink.BenchmarkSequentialWritesParallel10""",13771,279335,35,1,657,9620,3401,161,23,6,7,9,5,6,0,6,13,155,25,146,33,1137,82,377,36,3,25,2504,13,42,18,0,40,26,0,8,0,80,4,30,0,0,25,2,0,0,0,0,0,0,0,1,0,0,6,45,203,45,1
pgpst/pgpst,/internal/github.com/jtolds/gls/context_test.go/BenchmarkGetValue,"""github.com/pgpst/pgpst/internal/github.com/jtolds/gls.BenchmarkGetValue""",26223,483164,17,1,1191,20268,7258,323,54,10,12,14,8,11,0,11,23,316,62,342,115,2243,142,607,111,9,85,4937,34,54,29,0,76,26,0,32,2,93,5,33,1,0,59,19,0,0,0,0,0,0,0,5,0,0,6,69,268,49,1
pgpst/pgpst,/internal/github.com/dancannon/gorethink/gorethink_test.go/BenchmarkGet,"""(*github.com/pgpst/pgpst/internal/github.com/dancannon/gorethink.RethinkSuite).BenchmarkGet""",14866,306686,12,1,723,10176,3617,176,26,6,7,9,5,6,0,6,13,164,28,166,37,1210,86,387,36,4,27,2681,13,47,18,0,41,26,0,9,0,82,4,31,1,0,25,2,0,0,0,0,0,0,0,2,0,0,6,46,205,45,1
pgpst/pgpst,/internal/github.com/codahale/chacha20/shootout_test.go/BenchmarkAESCTR,"""github.com/pgpst/pgpst/internal/github.com/codahale/chacha20_test.BenchmarkAESCTR""",10,639,15,1,0,219,14,5,1,0,0,0,0,0,0,0,0,6,0,5,0,5,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pgpst/pgpst,/internal/github.com/golang/protobuf/proto/all_test.go/BenchmarkBufferMarshal,"""github.com/pgpst/pgpst/internal/github.com/golang/protobuf/proto_test.BenchmarkBufferMarshal""",8639,337371,22,1,585,8092,3041,147,18,5,4,7,5,6,0,4,9,144,11,113,4,931,62,275,18,1,16,2061,11,41,17,0,27,19,0,5,0,80,4,27,0,0,15,2,0,0,0,0,0,0,0,1,0,0,7,36,112,40,1
