project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeMapOfStruct,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeMapOfStruct""",119,12209,27,1,17,557,265,12,3,0,0,0,0,0,0,0,0,6,2,8,7,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeMetadata,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeMetadata""",112,11359,24,1,16,560,265,12,3,0,0,0,0,0,0,0,0,7,2,8,4,50,7,44,2,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeTypeConversion,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeTypeConversion""",119,12209,30,1,17,575,265,12,3,0,0,0,0,0,0,0,0,6,2,9,5,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeSlice,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeSlice""",119,12209,21,1,17,555,265,12,3,0,0,0,0,0,0,0,0,6,2,9,4,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeBasic,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeBasic""",119,12209,21,1,17,560,265,12,3,0,0,0,0,0,0,0,0,6,2,8,4,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeMap,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeMap""",119,12209,19,1,17,558,265,12,3,0,0,0,0,0,0,0,0,6,2,8,5,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeSliceOfStruct,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeSliceOfStruct""",119,12209,29,1,17,557,265,12,3,0,0,0,0,0,0,0,0,6,2,9,5,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeWeaklyTypedInput,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeWeaklyTypedInput""",112,11359,32,1,16,563,265,12,3,0,0,0,0,0,0,0,0,6,2,9,5,50,7,44,2,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_Decode,"""github.com/ardanlabs/kit/mapstructure.Benchmark_Decode""",119,12209,16,1,17,566,265,12,3,0,0,0,0,0,0,0,0,6,2,10,6,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeMetadataEmbedded,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeMetadataEmbedded""",112,11359,32,1,16,554,265,12,3,0,0,0,0,0,0,0,0,7,2,8,4,50,7,44,1,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeTagged,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeTagged""",119,12209,22,1,17,555,265,12,3,0,0,0,0,0,0,0,0,6,2,8,4,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
ardanlabs/kit,/mapstructure/mapstructure_benchmark_test.go/Benchmark_DecodeEmbedded,"""github.com/ardanlabs/kit/mapstructure.Benchmark_DecodeEmbedded""",119,12209,24,1,17,558,265,12,3,0,0,0,0,0,0,0,0,6,2,8,5,50,7,44,1,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
