project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
Comcast/rulio,/storage/bolt/bolt_test.go/BenchmarkAdd,"""github.com/Comcast/rulio/storage/bolt.BenchmarkAdd""",2435,26181,12,1,68,780,266,9,1,0,0,0,0,0,0,0,0,14,2,25,4,91,3,21,2,0,3,204,0,1,0,0,3,0,0,3,0,3,3,2,2,0,5,1,0,0,0,0,0,0,0,3,0,0,0,2,13,3,0
Comcast/rulio,/core/util_test.go/BenchmarkJSONEncodingUnmarshal,"""github.com/Comcast/rulio/core.BenchmarkJSONEncodingUnmarshal""",1747,20557,30,1,50,554,180,7,1,0,0,0,0,0,0,0,0,11,1,18,3,63,3,21,2,0,0,152,0,1,0,0,4,0,0,4,0,2,2,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0
Comcast/rulio,/core/log_test.go/BenchmarkLogSimple,"""github.com/Comcast/rulio/core.BenchmarkLogSimple""",1851,20336,18,1,51,562,179,7,1,0,0,0,0,0,0,0,0,11,1,18,3,62,3,21,2,0,0,153,0,1,0,0,3,0,0,3,0,2,2,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0
Comcast/rulio,/core/util_test.go/BenchmarkJSONEncodingMarshal,"""github.com/Comcast/rulio/core.BenchmarkJSONEncodingMarshal""",1747,20557,28,1,50,557,182,7,1,0,0,0,0,0,0,0,0,11,1,18,3,64,3,21,2,0,0,153,0,1,0,0,5,0,0,5,0,2,2,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0
Comcast/rulio,/core/context_test.go/BenchmarkNewContextInternal,"""github.com/Comcast/rulio/core.BenchmarkNewContextInternal""",1955,21364,27,1,54,581,185,7,1,0,0,0,0,0,0,0,0,11,2,18,4,64,3,21,2,0,0,157,0,1,0,0,3,0,0,3,0,2,2,1,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,2,7,3,0
Comcast/rulio,/core/javascript_test.go/BenchmarkJavascriptAddition,"""github.com/Comcast/rulio/core.BenchmarkJavascriptAddition""",2839,29942,27,1,69,1441,614,12,1,2,2,0,0,1,0,0,0,18,2,23,13,174,3,21,4,1,4,302,0,1,0,0,6,0,0,6,0,2,2,2,2,0,6,1,0,0,0,0,0,0,0,1,0,0,0,2,13,3,0
Comcast/rulio,/core/stats_test.go/BenchmarkStatsInc,"""github.com/Comcast/rulio/core.BenchmarkStatsInc""",1799,20366,17,1,51,563,182,7,1,0,0,0,0,0,0,0,0,11,2,17,2,64,3,21,2,0,0,154,0,1,0,0,3,0,0,3,0,2,2,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,8,4,0
Comcast/rulio,/core/util_test.go/BenchmarkMutex,"""github.com/Comcast/rulio/core.BenchmarkMutex""",52,455,14,1,0,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Comcast/rulio,/core/state_indexed_test.go/BenchmarkIndexedStateAdd,"""github.com/Comcast/rulio/core.BenchmarkIndexedStateAdd""",9227,92653,24,1,265,3233,1048,56,5,0,0,0,0,0,0,0,0,38,7,73,47,370,9,33,5,0,12,768,0,1,0,0,12,0,0,12,0,4,3,2,2,0,15,9,0,0,0,0,0,0,0,1,0,0,3,5,44,3,0
Comcast/rulio,/core/util_test.go/BenchmarkJSONEventMarshal,"""github.com/Comcast/rulio/core.BenchmarkJSONEventMarshal""",1747,20557,25,1,50,556,180,7,1,0,0,0,0,0,0,0,0,12,1,17,2,64,3,21,2,0,0,153,0,1,0,0,5,0,0,5,0,2,2,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0
