project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
nfnt/resize,resize_test.go/Benchmark_Bilinear_RGBA,"""github.com/nfnt/resize.Benchmark_Bilinear_RGBA""",473,13506,23,1,32,1485,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Nearest_YCC,"""github.com/nfnt/resize.Benchmark_Nearest_YCC""",473,13506,21,1,32,1484,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Bilinear_YCC,"""github.com/nfnt/resize.Benchmark_Bilinear_YCC""",473,13506,22,1,32,1484,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Lanczos3_YCC,"""github.com/nfnt/resize.Benchmark_Lanczos3_YCC""",473,13506,22,1,32,1484,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Lanczos3_RGBA,"""github.com/nfnt/resize.Benchmark_Lanczos3_RGBA""",473,13506,23,1,32,1485,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Nearest_RGBA,"""github.com/nfnt/resize.Benchmark_Nearest_RGBA""",473,13506,22,1,32,1485,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Mitchell_YCC,"""github.com/nfnt/resize.Benchmark_Mitchell_YCC""",473,13506,22,1,32,1484,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Bicubic_YCC,"""github.com/nfnt/resize.Benchmark_Bicubic_YCC""",473,13506,21,1,32,1484,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Lanczos2_YCC,"""github.com/nfnt/resize.Benchmark_Lanczos2_YCC""",473,13506,22,1,32,1484,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Bicubic_RGBA,"""github.com/nfnt/resize.Benchmark_Bicubic_RGBA""",473,13506,22,1,32,1485,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Lanczos2_RGBA,"""github.com/nfnt/resize.Benchmark_Lanczos2_RGBA""",473,13506,23,1,32,1485,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
nfnt/resize,resize_test.go/Benchmark_Mitchell_RGBA,"""github.com/nfnt/resize.Benchmark_Mitchell_RGBA""",473,13506,23,1,32,1485,843,105,44,0,0,0,0,32,0,0,0,78,0,20,0,40,19,58,0,0,32,267,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
