project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
dustin/go-jsonpointer,bytes_test.go/BenchmarkLargeIdentity,"""github.com/dustin/go-jsonpointer.BenchmarkLargeIdentity""",49,2615,22,1,7,135,46,5,0,0,0,0,0,0,0,0,0,4,2,5,1,13,2,9,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkDblReplacerTilde,"""github.com/dustin/go-jsonpointer.BenchmarkDblReplacerTilde""",21,1622,25,1,2,41,10,2,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectToplevelExact,"""github.com/dustin/go-jsonpointer.BenchmarkReflectToplevelExact""",49,1695,29,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkManyPointer,"""github.com/dustin/go-jsonpointer.BenchmarkManyPointer""",49,2615,20,1,7,133,44,6,0,0,0,0,0,0,0,0,0,4,2,6,1,12,2,9,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkLargeMissing,"""github.com/dustin/go-jsonpointer.BenchmarkLargeMissing""",49,2615,21,1,7,135,46,5,0,0,0,0,0,0,0,0,0,4,2,5,1,13,2,9,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
dustin/go-jsonpointer,map_test.go/BenchmarkPaths,"""github.com/dustin/go-jsonpointer.BenchmarkPaths""",14,215,14,1,1,35,7,3,1,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectDeep,"""github.com/dustin/go-jsonpointer.BenchmarkReflectDeep""",49,1695,20,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectSlash,"""github.com/dustin/go-jsonpointer.BenchmarkReflectSlash""",49,1695,21,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkLargeShallow,"""github.com/dustin/go-jsonpointer.BenchmarkLargeShallow""",49,2615,21,1,7,135,46,5,0,0,0,0,0,0,0,0,0,4,2,5,1,13,2,9,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkDblReplacerTwo,"""github.com/dustin/go-jsonpointer.BenchmarkDblReplacerTwo""",21,1622,23,1,2,41,10,2,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkEncodePointer,"""github.com/dustin/go-jsonpointer.BenchmarkEncodePointer""",21,1303,22,1,2,25,8,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkLarge3Key,"""github.com/dustin/go-jsonpointer.BenchmarkLarge3Key""",49,2615,18,1,7,137,46,5,0,0,0,0,0,0,0,0,0,4,2,5,1,13,2,9,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkLargeMap,"""github.com/dustin/go-jsonpointer.BenchmarkLargeMap""",14,685,17,1,1,43,12,2,0,0,0,0,0,0,0,0,0,2,0,2,2,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkDblReplacerSlash,"""github.com/dustin/go-jsonpointer.BenchmarkDblReplacerSlash""",21,1622,25,1,2,41,10,2,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkLargeBest,"""github.com/dustin/go-jsonpointer.BenchmarkLargeBest""",49,2615,18,1,7,135,46,5,0,0,0,0,0,0,0,0,0,4,2,5,1,13,2,9,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectToplevelTagged,"""github.com/dustin/go-jsonpointer.BenchmarkReflectToplevelTagged""",49,1695,30,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkReplacerTilde,"""github.com/dustin/go-jsonpointer.BenchmarkReplacerTilde""",7,647,22,1,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-jsonpointer,map_test.go/BenchmarkParseAndPath,"""github.com/dustin/go-jsonpointer.BenchmarkParseAndPath""",14,215,21,1,1,40,10,3,1,0,0,0,0,0,0,0,0,2,0,2,2,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkAll,"""github.com/dustin/go-jsonpointer.BenchmarkAll""",63,3271,12,1,9,142,43,7,2,0,0,0,0,0,0,0,0,6,1,3,0,13,2,11,2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectToplevelTaggedLower,"""github.com/dustin/go-jsonpointer.BenchmarkReflectToplevelTaggedLower""",49,1695,35,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectRoot,"""github.com/dustin/go-jsonpointer.BenchmarkReflectRoot""",49,1695,20,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dustin/go-jsonpointer,bytes_test.go/BenchmarkReplacerSlash,"""github.com/dustin/go-jsonpointer.BenchmarkReplacerSlash""",7,647,22,1,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dustin/go-jsonpointer,reflect_test.go/BenchmarkReflectTilde,"""github.com/dustin/go-jsonpointer.BenchmarkReflectTilde""",49,1695,21,1,6,142,55,5,1,0,0,0,0,0,0,0,0,6,0,1,0,18,2,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
