project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
StabbyCutyou/moldova,moldova_test.go/BenchmarkLastName,"""github.com/StabbyCutyou/moldova.BenchmarkLastName""",50,15126,17,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkFloat,"""github.com/StabbyCutyou/moldova.BenchmarkFloat""",50,15126,14,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkFirstName,"""github.com/StabbyCutyou/moldova.BenchmarkFirstName""",50,15126,18,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkTime,"""github.com/StabbyCutyou/moldova.BenchmarkTime""",50,15126,13,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkFullName,"""github.com/StabbyCutyou/moldova.BenchmarkFullName""",50,15126,17,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkGUID,"""github.com/StabbyCutyou/moldova.BenchmarkGUID""",50,15126,13,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkCountry,"""github.com/StabbyCutyou/moldova.BenchmarkCountry""",50,15126,16,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkNow,"""github.com/StabbyCutyou/moldova.BenchmarkNow""",50,15126,12,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkInteger,"""github.com/StabbyCutyou/moldova.BenchmarkInteger""",50,15126,16,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
StabbyCutyou/moldova,moldova_test.go/BenchmarkUnicode,"""github.com/StabbyCutyou/moldova.BenchmarkUnicode""",50,15126,16,1,37,517,145,7,0,0,0,0,0,0,0,0,0,7,2,29,1,62,1,9,0,0,0,107,0,9,0,0,0,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
