project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
cosmos72/gomacro,benchmark_test.go/BenchmarkShellSortCompiler,"""github.com/cosmos72/gomacro.BenchmarkShellSortCompiler""",1797,103310,26,1,156,398,227,8,2,0,0,0,0,0,0,0,0,15,2,4,1,47,6,29,0,1,1,265,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkArithFast2,"""github.com/cosmos72/gomacro.BenchmarkArithFast2""",40378,1477973,19,1,1161,99589,34048,811,16,102,68,34,0,1,0,0,0,1633,51,616,50,4865,767,6070,23,8,88,15478,0,26,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,12,7,2,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkArithClassic,"""github.com/cosmos72/gomacro.BenchmarkArithClassic""",9938,633589,21,1,769,8757,3190,148,11,0,0,0,0,4,0,0,0,180,33,104,11,913,124,494,21,8,73,2924,0,26,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,11,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkFibonacciClosureValues,"""github.com/cosmos72/gomacro.BenchmarkFibonacciClosureValues""",20,7441,31,1,17,152,71,5,0,0,0,0,0,0,0,0,0,5,0,10,0,4,1,4,2,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkFibonacciClosureInterfaces,"""github.com/cosmos72/gomacro.BenchmarkFibonacciClosureInterfaces""",20,6081,35,1,17,137,55,5,0,0,0,0,0,0,0,0,0,5,0,9,0,2,1,4,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkShellSortFastCompileLoop,"""github.com/cosmos72/gomacro.BenchmarkShellSortFastCompileLoop""",40192,1477292,33,1,1156,99555,34028,812,16,102,68,34,0,1,0,0,0,1634,51,616,51,4862,766,6069,23,8,88,15472,0,26,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,12,7,2,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkArithCompiler1,"""github.com/cosmos72/gomacro.BenchmarkArithCompiler1""",4,689,23,1,0,9,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkSumFast2,"""github.com/cosmos72/gomacro.BenchmarkSumFast2""",40378,1477973,17,1,1161,99586,34048,812,16,102,68,34,0,1,0,0,0,1634,51,616,50,4865,767,6070,23,8,88,15479,0,26,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,12,7,2,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkArithClassic2,"""github.com/cosmos72/gomacro.BenchmarkArithClassic2""",9938,633589,22,1,769,8753,3189,147,11,0,0,0,0,4,0,0,0,177,33,104,11,913,124,494,21,8,73,2923,0,26,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,11,0,0,0
cosmos72/gomacro,/experiments/stmt_old_test.go/BenchmarkThreadedStmtFunc0,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedStmtFunc0""",3,456,26,1,0,21,4,3,1,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,/experiments/stmt_new_test.go/BenchmarkThreadedFuncX6,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedFuncX6""",3,586,23,1,0,18,4,3,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,/experiments/stmt_old_test.go/BenchmarkThreadedStmtFunc3,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedStmtFunc3""",3,456,26,1,0,24,4,3,1,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkSumClassic,"""github.com/cosmos72/gomacro.BenchmarkSumClassic""",9970,633705,19,1,770,8753,3190,148,11,0,0,0,0,4,0,0,0,179,33,104,11,913,124,494,21,8,73,2925,0,26,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,11,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkFibonacciCompiler,"""github.com/cosmos72/gomacro.BenchmarkFibonacciCompiler""",8,1378,26,1,1,14,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkSumBytecodeValues,"""github.com/cosmos72/gomacro.BenchmarkSumBytecodeValues""",10,1505,26,1,6,77,37,2,0,0,0,0,0,0,0,0,0,3,0,2,0,4,1,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,/experiments/stmt_new_test.go/BenchmarkThreadedStmtFunc6,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedStmtFunc6""",3,586,26,1,0,25,4,3,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,/experiments/stmt_old_test.go/BenchmarkThreadedStmtFunc4Adaptive,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedStmtFunc4Adaptive""",3,456,34,1,0,84,36,4,2,0,0,0,0,0,0,0,0,5,1,2,0,16,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,/experiments/stmt_new_test.go/BenchmarkThreadedStmtStruct6Unroll,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedStmtStruct6Unroll""",3,586,34,1,0,52,18,3,1,0,0,0,0,0,0,0,0,3,1,2,0,14,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkShellSortClassic,"""github.com/cosmos72/gomacro.BenchmarkShellSortClassic""",9946,634967,25,1,769,8770,3192,151,13,0,0,0,0,4,0,0,0,183,33,106,11,913,124,494,21,8,73,2930,0,26,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,11,0,0,0
cosmos72/gomacro,/experiments/stmt_new_test.go/BenchmarkThreadedStmtStruct6,"""github.com/cosmos72/gomacro/experiments.BenchmarkThreadedStmtStruct6""",3,586,28,1,0,24,4,3,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkSumClosureInterfaces,"""github.com/cosmos72/gomacro.BenchmarkSumClosureInterfaces""",20,6081,29,1,17,158,51,5,0,0,0,0,0,0,0,0,0,5,0,11,0,3,1,4,3,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkSwitchFast,"""github.com/cosmos72/gomacro.BenchmarkSwitchFast""",40502,1479067,19,1,1163,99623,34060,813,16,102,68,34,0,1,0,0,0,1636,51,616,50,4871,768,6074,23,8,88,15492,0,26,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,12,7,2,0,0
cosmos72/gomacro,benchmark_test.go/BenchmarkSumFast,"""github.com/cosmos72/gomacro.BenchmarkSumFast""",40316,1477746,16,1,1160,99574,34040,812,16,102,68,34,0,1,0,0,0,1635,51,616,50,4864,766,6069,23,8,88,15476,0,26,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,12,7,2,0,0
