project_name,function,id,pkgfiles,fileloc,namelength,parameters,returns,loc,funccalls,loops,nestedloops,channels,sends,receives,closes,gos,concrranges,selects,selectcases,variables,pointers,slices,maps,ifelses,switches,switchcases,panics,recovers,defers,cyclomaticcomplexity,bufio,bytes,crypto,database/sql,encoding,encoding/binary,encoding/csv,encoding/json,encoding/xml,io,io/ioutil,math,math/rand,mime,net,net/http,net/http/httptest,net/http/httptrace,net/http/httputil,net/rpc,net/rpc/jsonrpc,net/smtp,net/textproto,os,os/exec,os/signal,sort,strconv,sync,sync/atomic,syscall
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterLookupStatic700,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupStatic700""",192,14439,30,1,44,319,126,19,3,0,0,0,0,0,0,0,0,10,0,7,3,38,2,6,1,0,0,107,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterBuildStatic100,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterBuildStatic100""",167,11104,29,1,32,251,84,16,3,0,0,0,0,0,0,0,0,8,0,5,3,27,2,6,1,0,0,83,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterBuildSingle2Param100,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterBuildSingle2Param100""",163,10926,35,1,31,240,77,15,3,0,0,0,0,0,0,0,0,5,0,5,3,26,2,6,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterLookupSingleParam100,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupSingleParam100""",188,14261,35,1,43,307,118,18,3,0,0,0,0,0,0,0,0,7,0,7,3,37,2,6,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterLookupSingle2Param100,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupSingle2Param100""",188,14261,36,1,43,307,118,18,3,0,0,0,0,0,0,0,0,7,0,7,3,37,2,6,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterLookupStatic100,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupStatic100""",192,14439,30,1,44,319,126,19,3,0,0,0,0,0,0,0,0,10,0,7,3,38,2,6,1,0,0,107,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterLookupSingle2Param700,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupSingle2Param700""",188,14261,36,1,43,307,118,18,3,0,0,0,0,0,0,0,0,7,0,7,3,37,2,6,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterBuildSingle2Param700,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterBuildSingle2Param700""",163,10926,35,1,31,240,77,15,3,0,0,0,0,0,0,0,0,5,0,5,3,26,2,6,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterBuildStatic700,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterBuildStatic700""",167,11104,29,1,32,251,84,16,3,0,0,0,0,0,0,0,0,8,0,5,3,27,2,6,1,0,0,83,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
go-openapi/runtime,/middleware/denco/router_bench_test.go/BenchmarkRouterLookupSingle2Param300,"""github.com/go-openapi/runtime/middleware/denco_test.BenchmarkRouterLookupSingle2Param300""",188,14261,36,1,43,307,118,18,3,0,0,0,0,0,0,0,0,7,0,7,3,37,2,6,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
