project_name,function,executions,mean,cv,rciw95,rciw99,rciw99mjhd,rmad,rmadhd,code_pkgfiles,code_fileloc,code_namelength,code_parameters,code_returns,code_loc,code_funccalls,code_loops,code_nestedloops,code_channels,code_sends,code_receives,code_closes,code_gos,code_concrranges,code_selects,code_selectcases,code_variables,code_pointers,code_slices,code_maps,code_ifelses,code_switches,code_switchcases,code_panics,code_recovers,code_defers,code_cyclomaticcomplexity,code_bufio,code_bytes,code_crypto,code_database/sql,code_encoding,code_encoding/binary,code_encoding/csv,code_encoding/json,code_encoding/xml,code_io,code_io/ioutil,code_math,code_math/rand,code_mime,code_net,code_net/http,code_net/http/httptest,code_net/http/httptrace,code_net/http/httputil,code_net/rpc,code_net/rpc/jsonrpc,code_net/smtp,code_net/textproto,code_os,code_os/exec,code_os/signal,code_sort,code_strconv,code_sync,code_sync/atomic,code_syscall,bench_pkgfiles,bench_fileloc,bench_namelength,bench_parameters,bench_returns,bench_loc,bench_funccalls,bench_loops,bench_nestedloops,bench_channels,bench_sends,bench_receives,bench_closes,bench_gos,bench_concrranges,bench_selects,bench_selectcases,bench_variables,bench_pointers,bench_slices,bench_maps,bench_ifelses,bench_switches,bench_switchcases,bench_panics,bench_recovers,bench_defers,bench_cyclomaticcomplexity,bench_bufio,bench_bytes,bench_crypto,bench_database/sql,bench_encoding,bench_encoding/binary,bench_encoding/csv,bench_encoding/json,bench_encoding/xml,bench_io,bench_io/ioutil,bench_math,bench_math/rand,bench_mime,bench_net,bench_net/http,bench_net/http/httptest,bench_net/http/httptrace,bench_net/http/httputil,bench_net/rpc,bench_net/rpc/jsonrpc,bench_net/smtp,bench_net/textproto,bench_os,bench_os/exec,bench_os/signal,bench_sort,bench_strconv,bench_sync,bench_sync/atomic,bench_syscall
ironsmile/nedomi,/app/request_id_test.go/BenchmarkNewIDFor,10,136.2,7.784057727282567,8.663729809104247,10.866372980910436,12.198847677711068,0.0,1.335028267371355,2567,35760,17,1,271,2857,1216,50,4,3,2,4,2,4,0,1,2,97,10,29,4,329,3,18,6,1,23,711,0,7,5,0,19,2,0,12,0,48,2,5,5,0,126,109,1,0,0,0,0,0,0,29,0,0,4,22,48,4,0,21,60,17,1,0,9,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkFilling,10,2981568000.0,2.229689350401566,2.772333215274648,3.6161845042608456,6.285761850350359,2.4053634639530883,2.4915565601028367,2552,35799,16,1,271,2859,1218,50,4,3,2,4,2,4,0,1,2,96,9,29,4,330,3,18,6,1,23,712,0,7,5,0,19,2,0,12,0,48,2,5,5,0,126,109,1,0,0,0,0,0,0,29,0,0,4,22,47,3,0,6,99,16,1,0,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkLookupAndRemove,10,15266.8,0.5744241933243925,0.6537060811695921,0.8331804962402123,1.9270937898938127,0.5254603691604051,0.6316522807688658,2552,35799,24,1,271,2863,1222,50,4,3,2,4,2,4,0,1,2,97,9,29,4,330,3,18,6,1,23,712,0,7,5,0,19,2,0,12,0,48,2,5,5,0,126,109,1,0,0,0,0,0,0,29,0,0,4,22,48,4,0,6,99,24,1,0,15,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkResizeByQuater,10,225911100.0,1.8907377960585323,2.490006024493706,3.1511067849255747,2.427882364406308,0.7186430458472655,0.9158402203106272,1425,21475,23,1,144,1285,496,33,3,0,2,2,0,1,0,0,0,41,5,10,2,160,1,6,3,1,12,374,0,4,2,0,7,1,0,4,0,24,1,0,0,0,30,24,0,0,0,0,0,0,0,15,0,0,0,6,26,2,0,6,99,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkResizeInHalf,10,391183500.0,39.48043754403904,38.49924651729943,51.34426682106991,16.14512814562976,0.7440126014930549,1.74325996625164,1425,21475,21,1,144,1285,496,33,3,0,2,2,0,1,0,0,0,41,5,10,2,160,1,6,3,1,12,374,0,4,2,0,7,1,0,4,0,24,1,0,0,0,30,24,0,0,0,0,0,0,0,15,0,0,0,6,26,2,0,6,99,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/cache/lru/lru_bench_test.go/BenchmarkResizeInQuater,10,441975300.0,46.6055567503774,44.76589528871863,55.98993880427254,71.53928997483752,0.6521527886758062,7.102040134460787,1425,21475,23,1,144,1285,496,33,3,0,2,2,0,1,0,0,0,41,5,10,2,160,1,6,3,1,12,374,0,4,2,0,7,1,0,4,0,24,1,0,0,0,30,24,0,0,0,0,0,0,0,15,0,0,0,6,26,2,0,6,99,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/types/bench_test.go/BenchmarkHash,10,183.1,2.7301413246338924,3.49535772801748,4.369197160021846,2.7996673844758635,0.4488069060773481,0.9056439888103764,78,173,13,1,2,30,12,2,0,0,0,0,0,0,0,0,0,4,1,0,1,3,0,0,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,69,13,1,0,14,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/types/bench_test.go/BenchmarkHashStr,10,1633.1,0.293593348231124,0.3367828057069377,0.4470026330292055,0.8926724385999754,0.447981893382353,0.422172348803804,1315,15317,16,1,127,927,371,20,1,0,2,1,0,0,0,0,0,20,4,6,2,127,0,0,1,0,4,297,0,4,1,0,5,1,0,2,0,24,1,0,0,0,30,24,0,0,0,0,0,0,0,12,0,0,0,6,14,2,0,26,69,16,1,0,14,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkKetama,10,2185.1,0.5024609126534587,0.5583268500297595,0.7459612832364527,1.2622179898314705,0.6315933455293848,0.5958984870561292,2578,36875,15,1,280,3006,1276,63,8,3,2,4,2,4,0,1,2,106,9,32,4,332,3,18,6,1,29,743,0,7,5,0,19,2,0,12,0,48,2,11,9,0,126,109,1,0,0,0,0,0,0,29,0,0,7,22,59,3,0,3,34,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkLegacyKetama,10,2230.3,0.5068544486262937,0.5918486302291294,0.7622292965071963,1.0406492187875669,0.3284395552560647,0.4466474363663346,2578,36875,21,1,280,3006,1276,63,8,3,2,4,2,4,0,1,2,106,9,32,4,332,3,18,6,1,29,743,0,7,5,0,19,2,0,12,0,48,2,11,9,0,126,109,1,0,0,0,0,0,0,29,0,0,7,22,59,3,0,3,34,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkRandom,10,2160.4,0.3087390838309143,0.3841881133123369,0.5045361970005596,0.6955290655234364,0.3759095326237853,0.3150327600177571,2578,36875,15,1,280,3006,1276,63,8,3,2,4,2,4,0,1,2,106,9,32,4,332,3,18,6,1,29,743,0,7,5,0,19,2,0,12,0,48,2,11,9,0,126,109,1,0,0,0,0,0,0,29,0,0,7,22,59,3,0,3,34,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ironsmile/nedomi,/upstream/balancing/bench_test.go/BenchmarkRendezvous,10,2343.9,0.637727145123881,0.7551516702931128,1.0111352873416024,1.733523442686066,0.8669589114194236,0.8338809989769822,2578,36875,19,1,280,3006,1276,63,8,3,2,4,2,4,0,1,2,106,9,32,4,332,3,18,6,1,29,743,0,7,5,0,19,2,0,12,0,48,2,11,9,0,126,109,1,0,0,0,0,0,0,29,0,0,7,22,59,3,0,3,34,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
